# t = +3.0114675141e+00
# r                 u_z
+9.5703125000e-02   +8.4135016027e+00   
+9.7656250000e-02   +8.4129839759e+00   
+9.9609375000e-02   +8.4124468529e+00   
+1.0156250000e-01   +8.4118899816e+00   
+1.0351562500e-01   +8.4113131384e+00   
+1.0546875000e-01   +8.4107161302e+00   
+1.0742187500e-01   +8.4100987975e+00   
+1.0937500000e-01   +8.4094610164e+00   
+1.1132812500e-01   +8.4088027022e+00   
+1.1328125000e-01   +8.4081238116e+00   
+1.1523437500e-01   +8.4074243462e+00   
+1.1718750000e-01   +8.4067043550e+00   
+1.1914062500e-01   +8.4059639379e+00   
+1.2109375000e-01   +8.4052032488e+00   
+1.2304687500e-01   +8.4044224992e+00   
+1.2500000000e-01   +8.4036219610e+00   
+1.2695312500e-01   +8.4028019706e+00   
+1.2890625000e-01   +8.4019629322e+00   
+1.3085937500e-01   +8.4011053214e+00   
+1.3281250000e-01   +8.4002296891e+00   
+1.3476562500e-01   +8.3993366653e+00   
+1.3671875000e-01   +8.3984269628e+00   
+1.3867187500e-01   +8.3975013813e+00   
+1.4062500000e-01   +8.3965608115e+00   
+1.4257812500e-01   +8.3956062390e+00   
+1.4453125000e-01   +8.3946387484e+00   
+1.4648437500e-01   +8.3936595277e+00   
+1.4843750000e-01   +8.3926698724e+00   
+1.5039062500e-01   +8.3916711897e+00   
+1.5234375000e-01   +8.3906650027e+00   
+1.5429687500e-01   +8.3896529551e+00   
+1.5625000000e-01   +8.3886368151e+00   
+1.5820312500e-01   +8.3876184797e+00   
+1.6015625000e-01   +8.3865999794e+00   
+1.6210937500e-01   +8.3855834820e+00   
+1.6406250000e-01   +8.3845712973e+00   
+1.6601562500e-01   +8.3835658808e+00   
+1.6796875000e-01   +8.3825698384e+00   
+1.6992187500e-01   +8.3815859299e+00   
+1.7187500000e-01   +8.3806170737e+00   
+1.7382812500e-01   +8.3796663499e+00   
+1.7578125000e-01   +8.3787370047e+00   
+1.7773437500e-01   +8.3778324536e+00   
+1.7968750000e-01   +8.3769562853e+00   
+1.8164062500e-01   +8.3761122646e+00   
+1.8359375000e-01   +8.3753043360e+00   
+1.8554687500e-01   +8.3745366261e+00   
+1.8750000000e-01   +8.3738134465e+00   
+1.8945312500e-01   +8.3731392966e+00   
+1.9140625000e-01   +8.3725188650e+00   
+1.9335937500e-01   +8.3719570320e+00   
+1.9531250000e-01   +8.3714588708e+00   
+1.9726562500e-01   +8.3710296487e+00   
+1.9921875000e-01   +8.3706748279e+00   
+2.0117187500e-01   +8.3704000660e+00   
+2.0312500000e-01   +8.3702112155e+00   
+2.0507812500e-01   +8.3701143238e+00   
+2.0703125000e-01   +8.3701156317e+00   
+2.0898437500e-01   +8.3702215721e+00   
+2.1093750000e-01   +8.3704387676e+00   
+2.1289062500e-01   +8.3707740281e+00   
+2.1484375000e-01   +8.3712343469e+00   
+2.1679687500e-01   +8.3718268969e+00   
+2.1875000000e-01   +8.3725590259e+00   
+2.2070312500e-01   +8.3734382509e+00   
+2.2265625000e-01   +8.3744722517e+00   
+2.2460937500e-01   +8.3756688638e+00   
+2.2656250000e-01   +8.3770360705e+00   
+2.2851562500e-01   +8.3785819937e+00   
+2.3046875000e-01   +8.3803148843e+00   
+2.3242187500e-01   +8.3822431107e+00   
+2.3437500000e-01   +8.3843751478e+00   
+2.3632812500e-01   +8.3867195629e+00   
+2.3828125000e-01   +8.3892850024e+00   
+2.4023437500e-01   +8.3920801760e+00   
+2.4218750000e-01   +8.3951138403e+00   
+2.4414062500e-01   +8.3983947809e+00   
+2.4609375000e-01   +8.4019317935e+00   
+2.4804687500e-01   +8.4057336631e+00   
+2.5000000000e-01   +8.4098091422e+00   
+2.5195312500e-01   +8.4141669279e+00   
+2.5390625000e-01   +8.4188156366e+00   
+2.5585937500e-01   +8.4237637778e+00   
+2.5781250000e-01   +8.4290197264e+00   
+2.5976562500e-01   +8.4345916928e+00   
+2.6171875000e-01   +8.4404876924e+00   
+2.6367187500e-01   +8.4467155121e+00   
+2.6562500000e-01   +8.4532826757e+00   
+2.6757812500e-01   +8.4601964083e+00   
+2.6953125000e-01   +8.4674635972e+00   
+2.7148437500e-01   +8.4750907526e+00   
+2.7343750000e-01   +8.4830839653e+00   
+2.7539062500e-01   +8.4914488632e+00   
+2.7734375000e-01   +8.5001905655e+00   
+2.7929687500e-01   +8.5093136352e+00   
+2.8125000000e-01   +8.5188220293e+00   
+2.8320312500e-01   +8.5287190476e+00   
+2.8515625000e-01   +8.5390072787e+00   
+2.8710937500e-01   +8.5496885448e+00   
+2.8906250000e-01   +8.5607638441e+00   
+2.9101562500e-01   +8.5722332911e+00   
+2.9296875000e-01   +8.5840960552e+00   
+2.9492187500e-01   +8.5963502973e+00   
+2.9687500000e-01   +8.6089931038e+00   
+2.9882812500e-01   +8.6220204200e+00   
+3.0078125000e-01   +8.6354269798e+00   
+3.0273437500e-01   +8.6492062355e+00   
+3.0468750000e-01   +8.6633502838e+00   
+3.0664062500e-01   +8.6778497917e+00   
+3.0859375000e-01   +8.6926939196e+00   
+3.1054687500e-01   +8.7078702432e+00   
+3.1250000000e-01   +8.7233646737e+00   
+3.1445312500e-01   +8.7391613767e+00   
+3.1640625000e-01   +8.7552426893e+00   
+3.1835937500e-01   +8.7715890365e+00   
+3.2031250000e-01   +8.7881788457e+00   
+3.2226562500e-01   +8.8049884612e+00   
+3.2421875000e-01   +8.8219920563e+00   
+3.2617187500e-01   +8.8391615464e+00   
+3.2812500000e-01   +8.8564665000e+00   
+3.3007812500e-01   +8.8738740506e+00   
+3.3203125000e-01   +8.8913488071e+00   
+3.3398437500e-01   +8.9088527650e+00   
+3.3593750000e-01   +8.9263452181e+00   
+3.3789062500e-01   +8.9437826696e+00   
+3.3984375000e-01   +8.9611187450e+00   
+3.4179687500e-01   +8.9783041053e+00   
+3.4375000000e-01   +8.9952863616e+00   
+3.4570312500e-01   +9.0120099912e+00   
+3.4765625000e-01   +9.0284162560e+00   
+3.4960937500e-01   +9.0444431227e+00   
+3.5156250000e-01   +9.0600251856e+00   
+3.5351562500e-01   +9.0750935921e+00   
+3.5546875000e-01   +9.0895759726e+00   
+3.5742187500e-01   +9.1033963726e+00   
+3.5937500000e-01   +9.1164751902e+00   
+3.6132812500e-01   +9.1287291177e+00   
+3.6328125000e-01   +9.1400710885e+00   
+3.6523437500e-01   +9.1504102291e+00   
+3.6718750000e-01   +9.1596518181e+00   
+3.6914062500e-01   +9.1676972512e+00   
+3.7109375000e-01   +9.1744440134e+00   
+3.7304687500e-01   +9.1797856591e+00   
+3.7500000000e-01   +9.1836118009e+00   
+3.7695312500e-01   +9.1858081071e+00   
+3.7890625000e-01   +9.1862563086e+00   
+3.8085937500e-01   +9.1848342166e+00   
+3.8281250000e-01   +9.1814157511e+00   
+3.8476562500e-01   +9.1758709809e+00   
+3.8671875000e-01   +9.1680661767e+00   
+3.8867187500e-01   +9.1578638762e+00   
+3.9062500000e-01   +9.1451229648e+00   
+3.9257812500e-01   +9.1296987693e+00   
+3.9453125000e-01   +9.1114431683e+00   
+3.9648437500e-01   +9.0902047188e+00   
+3.9843750000e-01   +9.0658287997e+00   
+4.0039062500e-01   +9.0381577737e+00   
+4.0234375000e-01   +9.0070311679e+00   
+4.0429687500e-01   +8.9722858743e+00   
+4.0625000000e-01   +8.9337563716e+00   
+4.0820312500e-01   +8.8912749677e+00   
+4.1015625000e-01   +8.8446720654e+00   
+4.1210937500e-01   +8.7937764520e+00   
+4.1406250000e-01   +8.7384156124e+00   
+4.1601562500e-01   +8.6784160684e+00   
+4.1796875000e-01   +8.6136037444e+00   
