# time                 amplitude              uBulk                  uAxis                  tauWall                
+5.8573043149089e+00   +3.6967192255907e+00   +2.0907806500660e+00   +3.2526969856189e+00   +6.1359577197110e-02   
+5.8589773524168e+00   +3.6979180408141e+00   +2.0850058833865e+00   +3.2465052927527e+00   +6.1466829011284e-02   
+5.8606503899246e+00   +3.6991145749758e+00   +2.0792298305706e+00   +3.2403115972788e+00   +6.1574042909630e-02   
+5.8623234274324e+00   +3.7003088273378e+00   +2.0734524951813e+00   +3.2341159030180e+00   +6.1681218826012e-02   
+5.8639964649402e+00   +3.7015007971634e+00   +2.0676738807823e+00   +3.2279182137920e+00   +6.1788356694320e-02   
+5.8656695024481e+00   +3.7026904837174e+00   +2.0618939909381e+00   +3.2217185334239e+00   +6.1895456448464e-02   
+5.8673425399559e+00   +3.7038778862658e+00   +2.0561128292142e+00   +3.2155168657379e+00   +6.2002518022381e-02   
+5.8690155774637e+00   +3.7050630040763e+00   +2.0503303991765e+00   +3.2093132145595e+00   +6.2109541350030e-02   
+5.8706886149716e+00   +3.7062458364177e+00   +2.0445467043921e+00   +3.2031075837155e+00   +6.2216526365393e-02   
+5.8723616524794e+00   +3.7074263825605e+00   +2.0387617484285e+00   +3.1968999770338e+00   +6.2323473002477e-02   
+5.8740346899872e+00   +3.7086046417764e+00   +2.0329755348542e+00   +3.1906903983436e+00   +6.2430381195311e-02   
+5.8757077274950e+00   +3.7097806133386e+00   +2.0271880672385e+00   +3.1844788514752e+00   +6.2537250877950e-02   
+5.8773807650029e+00   +3.7109542965218e+00   +2.0213993491513e+00   +3.1782653402603e+00   +6.2644081984470e-02   
+5.8790538025107e+00   +3.7121256906019e+00   +2.0156093841635e+00   +3.1720498685317e+00   +6.2750874448973e-02   
+5.8807268400185e+00   +3.7132947948564e+00   +2.0098181758465e+00   +3.1658324401233e+00   +6.2857628205583e-02   
+5.8823998775264e+00   +3.7144616085641e+00   +2.0040257277726e+00   +3.1596130588703e+00   +6.2964343188451e-02   
+5.8840729150342e+00   +3.7156261310052e+00   +1.9982320435151e+00   +3.1533917286093e+00   +6.3071019331748e-02   
+5.8857459525420e+00   +3.7167883614614e+00   +1.9924371266476e+00   +3.1471684531779e+00   +6.3177656569671e-02   
+5.8874189900498e+00   +3.7179482992159e+00   +1.9866409807447e+00   +3.1409432364148e+00   +6.3284254836441e-02   
+5.8890920275577e+00   +3.7191059435530e+00   +1.9808436093819e+00   +3.1347160821601e+00   +6.3390814066304e-02   
+5.8907650650655e+00   +3.7202612937587e+00   +1.9750450161353e+00   +3.1284869942551e+00   +6.3497334193527e-02   
+5.8924381025733e+00   +3.7214143491204e+00   +1.9692452045816e+00   +3.1222559765420e+00   +6.3603815152405e-02   
+5.8941111400812e+00   +3.7225651089266e+00   +1.9634441782986e+00   +3.1160230328647e+00   +6.3710256877253e-02   
+5.8957841775890e+00   +3.7237135724677e+00   +1.9576419408645e+00   +3.1097881670677e+00   +6.3816659302414e-02   
+5.8974572150968e+00   +3.7248597390352e+00   +1.9518384958585e+00   +3.1035513829972e+00   +6.3923022362253e-02   
+5.8991302526046e+00   +3.7260036079220e+00   +1.9460338468605e+00   +3.0973126845002e+00   +6.4029345991161e-02   
+5.9008032901125e+00   +3.7271451784227e+00   +1.9402279974510e+00   +3.0910720754252e+00   +6.4135630123550e-02   
+5.9024763276203e+00   +3.7282844498328e+00   +1.9344209512114e+00   +3.0848295596216e+00   +6.4241874693861e-02   
+5.9041493651281e+00   +3.7294214214499e+00   +1.9286127117238e+00   +3.0785851409401e+00   +6.4348079636556e-02   
+5.9058224026360e+00   +3.7305560925724e+00   +1.9228032825710e+00   +3.0723388232326e+00   +6.4454244886122e-02   
+5.9074954401438e+00   +3.7316884625005e+00   +1.9169926673364e+00   +3.0660906103522e+00   +6.4560370377071e-02   
+5.9091684776516e+00   +3.7328185305356e+00   +1.9111808696045e+00   +3.0598405061531e+00   +6.4666456043940e-02   
+5.9108415151594e+00   +3.7339462959807e+00   +1.9053678929602e+00   +3.0535885144906e+00   +6.4772501821290e-02   
+5.9125145526673e+00   +3.7350717581402e+00   +1.8995537409893e+00   +3.0473346392212e+00   +6.4878507643707e-02   
+5.9141875901751e+00   +3.7361949163197e+00   +1.8937384172782e+00   +3.0410788842028e+00   +6.4984473445800e-02   
+5.9158606276829e+00   +3.7373157698264e+00   +1.8879219254140e+00   +3.0348212532941e+00   +6.5090399162205e-02   
+5.9175336651908e+00   +3.7384343179691e+00   +1.8821042689848e+00   +3.0285617503552e+00   +6.5196284727581e-02   
+5.9192067026986e+00   +3.7395505600576e+00   +1.8762854515791e+00   +3.0223003792472e+00   +6.5302130076614e-02   
+5.9208797402064e+00   +3.7406644954034e+00   +1.8704654767862e+00   +3.0160371438325e+00   +6.5407935144011e-02   
+5.9225527777142e+00   +3.7417761233195e+00   +1.8646443481963e+00   +3.0097720479745e+00   +6.5513699864508e-02   
+5.9242258152221e+00   +3.7428854431200e+00   +1.8588220694000e+00   +3.0035050955380e+00   +6.5619424172863e-02   
+5.9258988527299e+00   +3.7439924541207e+00   +1.8529986439889e+00   +2.9972362903885e+00   +6.5725108003861e-02   
+5.9275718902377e+00   +3.7450971556388e+00   +1.8471740755552e+00   +2.9909656363932e+00   +6.5830751292309e-02   
+5.9292449277456e+00   +3.7461995469928e+00   +1.8413483676916e+00   +2.9846931374199e+00   +6.5936353973043e-02   
+5.9309179652534e+00   +3.7472996275026e+00   +1.8355215239919e+00   +2.9784187973380e+00   +6.6041915980920e-02   
+5.9325910027612e+00   +3.7483973964898e+00   +1.8296935480503e+00   +2.9721426200177e+00   +6.6147437250826e-02   
+5.9342640402691e+00   +3.7494928532772e+00   +1.8238644434617e+00   +2.9658646093306e+00   +6.6252917717669e-02   
+5.9359370777769e+00   +3.7505859971889e+00   +1.8180342138220e+00   +2.9595847691491e+00   +6.6358357316383e-02   
+5.9376101152847e+00   +3.7516768275508e+00   +1.8122028627274e+00   +2.9533031033470e+00   +6.6463755981928e-02   
+5.9392831527925e+00   +3.7527653436899e+00   +1.8063703937750e+00   +2.9470196157992e+00   +6.6569113649290e-02   
+5.9409561903004e+00   +3.7538515449348e+00   +1.8005368105626e+00   +2.9407343103816e+00   +6.6674430253477e-02   
+5.9426292278082e+00   +3.7549354306155e+00   +1.7947021166886e+00   +2.9344471909714e+00   +6.6779705729526e-02   
+5.9443022653160e+00   +3.7560170000633e+00   +1.7888663157522e+00   +2.9281582614467e+00   +6.6884940012498e-02   
+5.9459753028239e+00   +3.7570962526111e+00   +1.7830294113532e+00   +2.9218675256868e+00   +6.6990133037478e-02   
+5.9476483403317e+00   +3.7581731875932e+00   +1.7771914070920e+00   +2.9155749875723e+00   +6.7095284739577e-02   
+5.9493213778395e+00   +3.7592478043453e+00   +1.7713523065699e+00   +2.9092806509846e+00   +6.7200395053935e-02   
+5.9509944153473e+00   +3.7603201022044e+00   +1.7655121133887e+00   +2.9029845198064e+00   +6.7305463915712e-02   
+5.9526674528552e+00   +3.7613900805091e+00   +1.7596708311509e+00   +2.8966865979215e+00   +6.7410491260097e-02   
+5.9543404903630e+00   +3.7624577385995e+00   +1.7538284634597e+00   +2.8903868892148e+00   +6.7515477022304e-02   
+5.9560135278708e+00   +3.7635230758169e+00   +1.7479850139190e+00   +2.8840853975723e+00   +6.7620421137573e-02   
+5.9576865653787e+00   +3.7645860915042e+00   +1.7421404861334e+00   +2.8777821268809e+00   +6.7725323541169e-02   
+5.9593596028865e+00   +3.7656467850056e+00   +1.7362948837079e+00   +2.8714770810290e+00   +6.7830184168382e-02   
+5.9610326403943e+00   +3.7667051556669e+00   +1.7304482102485e+00   +2.8651702639057e+00   +6.7935002954530e-02   
+5.9627056779021e+00   +3.7677612028352e+00   +1.7246004693618e+00   +2.8588616794014e+00   +6.8039779834955e-02   
+5.9643787154100e+00   +3.7688149258590e+00   +1.7187516646548e+00   +2.8525513314077e+00   +6.8144514745025e-02   
+5.9660517529178e+00   +3.7698663240885e+00   +1.7129017997354e+00   +2.8462392238169e+00   +6.8249207620134e-02   
+5.9677247904256e+00   +3.7709153968750e+00   +1.7070508782121e+00   +2.8399253605228e+00   +6.8353858395704e-02   
+5.9693978279335e+00   +3.7719621435715e+00   +1.7011989036941e+00   +2.8336097454200e+00   +6.8458467007178e-02   
+5.9710708654413e+00   +3.7730065635321e+00   +1.6953458797911e+00   +2.8272923824044e+00   +6.8563033390031e-02   
+5.9727439029491e+00   +3.7740486561128e+00   +1.6894918101137e+00   +2.8209732753728e+00   +6.8667557479760e-02   
+5.9744169404569e+00   +3.7750884206706e+00   +1.6836366982727e+00   +2.8146524282231e+00   +6.8772039211890e-02   
+5.9760899779648e+00   +3.7761258565642e+00   +1.6777805478801e+00   +2.8083298448544e+00   +6.8876478521970e-02   
+5.9777630154726e+00   +3.7771609631537e+00   +1.6719233625481e+00   +2.8020055291667e+00   +6.8980875345578e-02   
+5.9794360529804e+00   +3.7781937398004e+00   +1.6660651458898e+00   +2.7956794850613e+00   +6.9085229618316e-02   
+5.9811090904883e+00   +3.7792241858675e+00   +1.6602059015188e+00   +2.7893517164402e+00   +6.9189541275814e-02   
+5.9827821279961e+00   +3.7802523007192e+00   +1.6543456330494e+00   +2.7830222272069e+00   +6.9293810253726e-02   
+5.9844551655039e+00   +3.7812780837214e+00   +1.6484843440965e+00   +2.7766910212657e+00   +6.9398036487734e-02   
+5.9861282030117e+00   +3.7823015342412e+00   +1.6426220382756e+00   +2.7703581025219e+00   +6.9502219913547e-02   
+5.9878012405196e+00   +3.7833226516475e+00   +1.6367587192029e+00   +2.7640234748821e+00   +6.9606360466898e-02   
+5.9894742780274e+00   +3.7843414353102e+00   +1.6308943904952e+00   +2.7576871422537e+00   +6.9710458083549e-02   
+5.9911473155352e+00   +3.7853578846010e+00   +1.6250290557699e+00   +2.7513491085453e+00   +6.9814512699287e-02   
