# t = +6.6921500313e-01
# r                 u_z
-5.6640625000e-02   +2.6413470838e+00   
-5.4687500000e-02   +2.6412441968e+00   
-5.2734375000e-02   +2.6411404288e+00   
-5.0781250000e-02   +2.6410362873e+00   
-4.8828125000e-02   +2.6409322571e+00   
-4.6875000000e-02   +2.6408288003e+00   
-4.4921875000e-02   +2.6407263570e+00   
-4.2968750000e-02   +2.6406253457e+00   
-4.1015625000e-02   +2.6405261635e+00   
-3.9062500000e-02   +2.6404291867e+00   
-3.7109375000e-02   +2.6403347708e+00   
-3.5156250000e-02   +2.6402432516e+00   
-3.3203125000e-02   +2.6401549450e+00   
-3.1250000000e-02   +2.6400701473e+00   
-2.9296875000e-02   +2.6399891362e+00   
-2.7343750000e-02   +2.6399121704e+00   
-2.5390625000e-02   +2.6398394905e+00   
-2.3437500000e-02   +2.6397713188e+00   
-2.1484375000e-02   +2.6397078601e+00   
-1.9531250000e-02   +2.6396493017e+00   
-1.7578125000e-02   +2.6395958137e+00   
-1.5625000000e-02   +2.6395475491e+00   
-1.3671875000e-02   +2.6395046446e+00   
-1.1718750000e-02   +2.6394672198e+00   
-9.7656250000e-03   +2.6394353784e+00   
-7.8125000000e-03   +2.6394092077e+00   
-5.8593750000e-03   +2.6393887790e+00   
-3.9062500000e-03   +2.6393741476e+00   
-1.9531250000e-03   +2.6393653530e+00   
+0.0000000000e+00   +2.6393624189e+00   
+1.9531250000e-03   +2.6393653530e+00   
+3.9062500000e-03   +2.6393741476e+00   
+5.8593750000e-03   +2.6393887790e+00   
+7.8125000000e-03   +2.6394092077e+00   
+9.7656250000e-03   +2.6394353784e+00   
+1.1718750000e-02   +2.6394672198e+00   
+1.3671875000e-02   +2.6395046446e+00   
+1.5625000000e-02   +2.6395475491e+00   
+1.7578125000e-02   +2.6395958137e+00   
+1.9531250000e-02   +2.6396493017e+00   
+2.1484375000e-02   +2.6397078601e+00   
+2.3437500000e-02   +2.6397713188e+00   
+2.5390625000e-02   +2.6398394905e+00   
+2.7343750000e-02   +2.6399121704e+00   
+2.9296875000e-02   +2.6399891362e+00   
+3.1250000000e-02   +2.6400701473e+00   
+3.3203125000e-02   +2.6401549450e+00   
+3.5156250000e-02   +2.6402432516e+00   
+3.7109375000e-02   +2.6403347708e+00   
+3.9062500000e-02   +2.6404291867e+00   
+4.1015625000e-02   +2.6405261635e+00   
+4.2968750000e-02   +2.6406253457e+00   
+4.4921875000e-02   +2.6407263570e+00   
+4.6875000000e-02   +2.6408288003e+00   
+4.8828125000e-02   +2.6409322571e+00   
+5.0781250000e-02   +2.6410362873e+00   
+5.2734375000e-02   +2.6411404288e+00   
+5.4687500000e-02   +2.6412441968e+00   
+5.6640625000e-02   +2.6413470838e+00   
+5.8593750000e-02   +2.6414485588e+00   
+6.0546875000e-02   +2.6415480675e+00   
+6.2500000000e-02   +2.6416450311e+00   
+6.4453125000e-02   +2.6417388469e+00   
+6.6406250000e-02   +2.6418288870e+00   
+6.8359375000e-02   +2.6419144988e+00   
